,K,Degree,Delta,F1,SS,Weights
1663,6,11,8.0,[0.265 0.209 0.5   0.45  0.135 0.152],-0.22837761502094397,[0.0032     0.0032     0.9544     0.028      0.00506667 0.00613333]
1664,6,12,0.0625,[0.585 0.432 0.411 0.411 0.362 0.291],0.40584772209376635,[0.35619405 0.16351769 0.09453552 0.14965013 0.11027598 0.12582663]
1665,6,12,0.125,[0.579 0.491 0.355 0.35  0.409 0.377],0.21752488548602772,[0.35759267 0.13052759 0.07246467 0.15911939 0.15994158 0.12035409]
1666,6,12,0.25,[0.425 0.463 0.396 0.444 0.47  0.422],0.19820207875979406,[0.43033539 0.13081862 0.09667153 0.09148565 0.1108966  0.13979221]
1667,6,12,0.5,[0.45  0.521 0.504 0.475 0.492 0.393],0.0706255604514621,[0.45054486 0.16004988 0.0964303  0.07103237 0.10969004 0.11225255]
1668,6,12,1.0,[0.483 0.458 0.459 0.421 0.425 0.424],-0.00030830786464938027,[0.42045167 0.12107527 0.12738079 0.07321324 0.18567928 0.07219975]
1669,6,12,2.0,[0.25  0.206 0.5   0.351 0.247 0.205],-0.17962961642936917,[0.00213333 0.00373333 0.93332648 0.04498015 0.00693435 0.00889236]
1670,6,12,4.0,[0.286 0.203 0.529 0.456 0.158 0.156],-0.21560991012245098,[0.00373333 0.00372704 0.95227236 0.02880068 0.00559992 0.00586667]
1671,6,12,8.0,[0.286 0.257 0.519 0.442 0.184 0.13 ],-0.22819154410083362,[0.00373333 0.00399992 0.95253347 0.02826662 0.0056     0.00586667]
1672,6,13,0.0625,[0.525 0.473 0.33  0.457 0.408 0.385],0.3610634628259839,[0.31596345 0.21958771 0.08311449 0.12246552 0.14365294 0.11521589]
1673,6,13,0.125,[0.537 0.509 0.352 0.343 0.442 0.463],0.15267427341527534,[0.36545293 0.13393395 0.06504213 0.19590249 0.12147742 0.11819108]
1674,6,13,0.25,[0.417 0.474 0.4   0.434 0.466 0.385],0.20944368638388533,[0.43116798 0.12607516 0.09702249 0.09566012 0.11991022 0.13016403]
1675,6,13,0.5,[0.414 0.46  0.435 0.464 0.496 0.39 ],0.058453147869741574,[0.43094502 0.17377059 0.08077539 0.08953513 0.10233884 0.12263503]
1676,6,13,1.0,[0.393 0.564 0.467 0.487 0.471 0.365],0.00373272148156591,[0.4075252  0.11677724 0.1304844  0.07376347 0.18701208 0.08443761]
1677,6,13,2.0,[0.194 0.306 0.468 0.292 0.278 0.258],-0.2016044924487117,[0.0016     0.00479992 0.93804056 0.03618265 0.00639819 0.01297868]
1678,6,13,4.0,[0.286 0.232 0.459 0.442 0.192 0.33 ],-0.22435569752805865,[0.00373333 0.00373333 0.94468321 0.02826667 0.0048     0.01478346]
1679,6,13,8.0,[0.206 0.182 0.559 0.446 0.171 0.058],-0.23994312602725804,[0.0032     0.00293333 0.9584     0.02773333 0.004      0.00373333]
1680,6,14,0.0625,[0.576 0.459 0.33  0.393 0.385 0.324],0.3537919902543802,[0.29928766 0.14963909 0.11573377 0.18808779 0.1219344  0.12531728]
1681,6,14,0.125,[0.52  0.462 0.286 0.385 0.412 0.4  ],0.2478806775506172,[0.36620789 0.11478305 0.19456351 0.09559304 0.11497123 0.11388127]
1682,6,14,0.25,[0.5   0.466 0.375 0.464 0.44  0.4  ],0.21982138272933371,[0.45141811 0.1089235  0.10966173 0.09078933 0.11757082 0.12163652]
1683,6,14,0.5,[0.481 0.504 0.4   0.504 0.41  0.372],0.05834194741051228,[0.45891346 0.17114232 0.05333409 0.10010632 0.14691425 0.06958956]
1684,6,14,1.0,[0.462 0.509 0.404 0.47  0.432 0.427],0.02009360460127159,[0.42114638 0.10951869 0.12456334 0.1222106  0.11881907 0.10374191]
